In-TC-vs-Ex-TC	In-TC-vs-QY	Ex-TC-vs-QY
LOC101749502	IL21R	
CYFIP2	IL9R	
HAVCR1	BMERB1	
TIMD4	NDE1	
SGCD	TMC5	
LOC416263	CIITA	
CSF1R	TVP23A	
DCK2	METTL22	
GFPT2	METRN	
NME5	CCDC78	
TMSB4Y	PPL	
FAM13B	NHLRC4	
LECT2	HN1L	
SHROOM1	LOC121106813	
STK32A	ERI2	
GFRA3	DNAH3	
BHLHA15	SERPIND1	
FAM20C	COMT	
CARD11	DGCR8	
CYP3A5	TMEM132D	
DRC3	GLT1D1	
GRAPL	TMEM132B	
MAFIP	RFLNA	
MSLNL	DNAH10	
MSLN	MORN3	
SYNGR3	RHOF	
HEXDCL	WDR66	
PRKCB	LRRC43	
PLK1	FOXN4	
BMERB1	CRYBB2	
NDE1	CRYBB1	
FOPNL	KREMEN1	
TMC5	VPS29L	
CIITA	VPREB3	
TVP23A	MMP11	
METTL22	SLC2A11	
CFAP70	SLC2A11L1	
CCDC78	GSTT1	
PPL	RAB36	
C16orf89	RSPH14	
NHLRC4	SLC5A1	
LOC121106812	DYNLL1	
LOC121106810	CIT	
HN1L	CCDC60	
ERI2	HSPB8	
DNAH3	CFAP73	
SERPIND1	AIFM3	
ARVCF	C14ORF166B	
TMEM132B	RTN4R	
RFLNA	LOC121106873	
DNAH10	LOC101750822	
IFT81	IQCD	
MORN3	GAL3ST1	
RHOF	DTX1	
LRRC43	RASAL1	
ALDH2	LOC100859834	
PTPN11	LOC112531211	
KREMEN1	LOC121106953	
VPS29L	LOC107049794	
VPREB3	LOC107049548	
SLC2A11	LOC101747593	
GSTT1L	ZNFY3	
GSTT1	MHCY32	
DDTL	KIFC1	
RAB36	LOC100858531	
DYNLL1	LOC100858315	
CCDC60	LOC121107070	
CFAP73	UAP1L1	
AIFM3	SAPCD2	
C14ORF166B	RNF208	
LOC121106873	LRRC26	
LOC101750822	CACNA1B	
IQCD	WHRN	
DUSP21	TNC	
GAL3ST1	ASTN2	
DTX1	PRRX2	
RASAL1	LOC417192	
NOS1	FAM78A	
SDSL	CFAP77	
LOC101747593	AK8	
LOC121106431	SPACA9	
YLEC8	CCDC180	
LOC107050659	SARDH	
KIFC1	COL5A1	
44G24.1	C9orf116	
PRF1	FAM69B	
UAP1L1	LOC121107032	
ENTPD2	LOC417131	
LOC427778	HSPA5	
LRRC26	GAS7	
NSMF	DNAH9	
CACNA1B	CFAP52	
WHRN	TEKT3	
ORM1	ZNF750	
PRRX2	CYGB	
LOC417192	QRICH2	
NCS1	FOXJ1	
LAMC3	GALR2	
FAM78A	EVPL	
CFAP77	MYO15L	
AK8	CCDC57	
SPACA9	COPRS	
CCDC180	CACNG4	
SARDH	KCNJ16	
C9orf116	SSTR2	
LOC121107032	DNAI2	
LOC417131	CCDC40	
TRAF1	TK1	
GAS7	PYCR1	
MYH1F	NME1	
MYH1G	CHAD	
DNAH9	FADS6	
RNF222	LOC107054771	
CFAP52	LOC107054772	
TEKT3	NAA38	
ZNF750	LOC112530086	
ST6GALNAC1	ANGPTL6	
CYGB	LOC417459	
QRICH2	CCL4	
FOXJ1	LPO	
EVPL	WBSCR17	
CCDC57	MIS12	
RAB11FIP4	COL26A1	
CEP95	CCLI5	
KPNA2	CCL1	
CACNG1	NF2L	
CACNG5	LRRC75A	
AXIN2	VTN	
KCNJ16	UNC119	
DNAI2	SPECC1	
CCDC40	ADORA2B	
TK1	CA4	
PYCR1	DUSP14	
NME1	EVI2A	
CHAD	EVI2B	
LOC112529952	OMG	
LOC112530086	FAM64A	
STX1A	FBXO39	
ANGPTL6	TEKT1	
LOC417459	GGT7	
LPO	FAM83C	
AGPAT1	MYH7B	
EPX	LOC121107320	
WBSCR17	FAM83D	
MIS12	MATN4	
IFT22	R3HDML	
CCL1	NTSR1	
NF2L	COL9A3	
KCTD7	TCFL5	
LRRC75A	SLC17A9	
SERPINF2	LOC121107336	
SERPINF1	C20orf96	
VTN	TPX2	
UNC119	MYLK2	
SPAG5	BPIL3	
SPECC1	KIAA1755	
ADORA2B	LOC771972	
DUSP14	SPINT4	
EVI2A	ZNF831	
EVI2B	RAB22A	
FAM64A	C20orf85	
FBXO39	TFAP2C	
TEKT1	LOC419333	
GGT7	SALL4	
FAM83C	NFATC2	
RALY	CCDC27	
LOC121107320	PLCH2	
IFT52	CFAP74	
FAM83D	NADK	
EMILIN3	TNFRSF18	
RBPJL	ARHGEF7L	
RIMS4	TTLL10	
EYA2	PLEKHN1	
NTSR1	SAMD11	
SLC17A9	RBP7	
LOC419242	MFAP2	
C20orf96	PLA2G5	
TPX2	FHAD1	
TTLL9	WNT4	
BPIL3	KIF17	
BPIFB4	NKX3-1	
LOC101750367	RAB11FIP1	
KIAA1755	LOC121106472	
LOC771972	AIM1L	
LOC100859272	THEMIS2	
UBE2U	SFN	
ZNF831	TRNP1	
RAB22A	E2F2	
LOC419333	RUNX3	
CBLN3	EPHA10	
CYP24A1	DNALI1	
SALL4	TEKT2	
PARD6B	CLSPN	
CCDC27	LCK	
PLCH2	FNDC5	
CFAP74	BARX2	
PLEKHN1	TMEM45A	
HSPB7	C11orf63	
PLA2G5	GRIK4	
UBXN10	CCDC160	
FHAD1	OAF	
PDPN	TRIM29	
WNT4	USP2	
YBX1	CCDC153	
NKX3-1	ABCG4	
RPS6KA1	COLCA2	
SFN	CD3E	
TRNP1	C11orf88	
TCEA3	CXCR5	
E2F2	PLET1	
STMN1	IL18	
DNALI1	PIH1D2	
TEKT2	DIXDC1	
CLSPN	LOC101749531	
LCK	SLAMF1	
FNDC5	LOC431323	
LBFABP	EDCH3	
BARX2	LOC101747386	
TMEM45A	S100A1	
LOC121107518	EFCAB12	
C11orf63	GOLPH3L	
CRTAM	LOC121107589	
GRIK4	CFAP45	
CCDC160	VSIG8	
USP2	CFAP126	
CCDC153	KIF21B	
COLCA2	ELF3	
LOC101751887	PTPN7	
POU2AF1	PTPRVP	
CLDN25	PHLDA3	
LOC107055072	LAD1	
JAML	PKP1	
MPZL3	ADORA1	
MPZL2	PROK1	
C11orf88	KCNA2	
CXCR5	KCNA3	
TTC12	PNPLA1	
PLET1	RAB44	
PTS	NFASC	
PIH1D2	FAM72A	
HSPB2	RASSF5	
LOC101750739	PIGR	
LOC101749531	LOC101748581	
SLAMF1	IRF6	
LOC101747386	LOC121107627	
S100A1	ADORA3	
NUP210L	WNT2B	
GOLPH3L	SPDEF	
CFAP45	MDFI	
CFAP126	LOC769232	
LOC101748032	LOC121107656	
ELF3	CCDC103	
GPR37L1	KIF18B	
PTPN7	TMEM98	
PTPRVP	CD79B	
PHLDA3	LOC121106465	
LAD1	PRR29	
UBE2T	KCNH6	
PROK1	COL1A1	
KCNA3	LOC429785	
PNPLA1	LRRC46	
CDK18	SRCIN1	
LOC121107619	TCAP	
NUCKS1	TOP2A	
FAM72A	CCR7	
RASSF5	KRT222	
PIGR	KRT40	
LOC101748581	KRT13	
C4BPS	LOC772080	
HSD11B1A	KRT14	
IRF6	TTC25	
ADORA3	ZNF385C	
TSHB	LOC772158	
SPDEF	BRCA1	
TREMB2	LOC107055331	
CHIA	LOC121107724	
LOC121107656	TMPRSS9	
CCDC103	LMNB2	
KIF18B	PCASP2	
TMEM98	NMRK2	
CD79B	FUT6	
LOC121106465	RFX2	
PRR29	ZAP70	
KCNH6	MUC16	
MYL4	LOC121107722	
LOC429785	C19orf35	
ETV4	ATP8B3	
LRRC46	REEP6	
SRCIN1	PCSK4	
TCAP	B3GNT3	
PNMT	JAK3	
IKZF3	SLC5A5	
TOP2A	LOC121107774	
CCR7	NFIX	
KRT40	GMIP	
KRT13	CHIR-AB1	
KRT24	LOC107050438	
KRT14	LOC107050473	
TTC25	LOC121107883	
LOC772158	LOC112531328	
BRCA1	LOC769660	
LOC107055331	LOC112530854	
LMNB2	LOC121107933	
LOC121107721	LOC100859329	
LOC769223	WNT1	
RAX2	CCDC65	
PCASP2	RACGAP1	
RFX2	ZNF385A	
MUC16	TMEM106C	
LOC121107723	KRT5	
C19orf35	KRT7	
REEP6	AQP5	
PCSK4	LOC100858973	
B3GNT3	LOC121108060	
JAK3	LOC121108105	
SLC5A5	LOC107050557	
LOC121107782	PRX	
LOC121107774	SPTBN2	
PGLYRP2	LOC112531143	
LOC101749673	LOC121108210	
NANOS3	LOC107049459	
NFIX	LOC121108491	
GMIP	LOC101751171	
LOC427029	FECH	
LOC107050008	LIPG	
LOC107050189	DNAI1	
LOC107056128	CCL19	
LOC112531095	LOC100857191	
LOC107050438	CD72	
CHIR-B6	CD72L2	
LOC112529946	SPAG8	
LOC107049967	LOC121108602	
CHIR-B4	SPEF2	
LOC107049516	FYB1	
LOC100857597	C7	
LOC107050473	CDC20B	
CHIR-B3	GPX8	
LOC121107883	MCIDAS	
LOC100857570	CCNO	
LOC121107882	ANKRD55	
LOC112531328	DEPDC1B	
WNT1	SGTB	
ARF3	NLN	
CCDC65	LOC101749460	
RACGAP1	THBS4	
ZNF385A	BHMT2	
TMEM106C	DOCK8	
KRT5	DMRT2	
KRT75	RLN3	
AQP5	LOC100858941	
LOC100858973	LOC112532140	
LOC121108151	LOC101748308	
VKORC1	PCSK5	
LOC121106492	RASEF	
SPTBN2	KIF27	
LOC112531143	SLC28A3	
LOC121108196	SYK	
LOC107053122	NREP	
LOC112531967	CAMK4	
LOC107049459	LOC121108299	
FECH	CPLX1	
GRP	FAM81B	
RAX	MCTP1	
LIPG	EDIL3	
SMAD2	PLPPR1	
SETBP1	SMC2	
DNAI1	FOXE1	
CCL19	CDO1	
LOC100857191	LOX	
CD72	PAX5	
CD72L2	MELK	
CD72L1	LOC121108649	
CLEC5A	CHIR-IG1-5	
SPAG8	SUPT16H	
SPEF2	LOC121108723	
DAB2	LOC121108729	
PARP8	ALDOA	
SGTB	LOC107050559	
LOC101749460	TLCD3B	
DOCK8	LOC121108736	
DMRT2	LOC121108742	
SLC1A1	LOC107057287	
RLN3	LOC121108785	
LOC100858941	LOC121108875	
LOC112532140	LOC100857892	
TRPM6	LOC429249	
RASEF	LOC121108911	
KIF27	LOC112530990	
SLC28A3	LOC107051255	
FBP1	LOC121108967	
DIRAS2		
SYK		
NREP		
CAMK4		
SLCO4C1		
LOC121108299		
CPLX1		
PSD3		
FSD1L		
FAM81B		
MCTP1		
EDIL3		
PLPPR1		
KIAA1958		
HSDL2		
SMC2		
IFT74		
CDO1		
LOC121108327		
LOC121108470		
LOX		
PAX5		
MELK		
CHIR-IG1-5		
APEX1		
LOC121108723		
LOC121108727		
LOC121108736		
LOC121108875		
PSENEN		
MYO7L2		
LOC100857892		
LOC429249		
LOC101751749		
TP53		
LOC112530990		
LOC121108960		
LOC121108967		
