In-TC-vs-Ex-TC	In-TC-vs-QY	Ex-TC-vs-QY
STOML3	FLT3	MHCY11
SERTM1	RASL11A	MHCY15
DCLK1	AMER2	LOC100859628
MTUS2	EXPH5	LOC121106939
RASL11A	RAB39A	MHCY12
AMER2	GUCY1A2	MHCY35
SACS	MMP27	MHCY32
EEF1AKMT1	MMP7	LOC121106920
EXPH5	YAP1	LOC107054697
RAB39A	C11orf70	BG-like-antigen-1
GUCY1A2	CEP126	LOC107050418
MMP13	ANGPTL5	LOC100858531
MMP27	PGR	LOC107049645
MMP7	SESN3	LOC100858315
YAP1	FUT4	LOC112531351
C11orf70	C11orf97	LOC121107070
CEP126	NOX4	LOC101748065
PGR	LOC121107448	BRINP1
FUT4	LOC121107447	ENG
C11orf97	CTSC	LOC427799
HEPHL1	ANKRD42	GALR2
NOX4	CCDC89	COPRS
LOC121107448	TENM4	SSTR2
LOC121107447	LOC101750591	FADS6
CTSC	LOC121109028	LOC107054771
ME3	MYO7A	LOC107054772
PRCP	CAPN5	NAA38
CCDC89	LOC107052453	TRIM50
TENM4	DNAJB13	CCLI5
THRSP	MOGAT2	PROCA1
CAPN5	FOLR1	CA4
WNT11	CCKBR	COL9A3
LOC107052453	MAP4	TCFL5
LOC107050420	ZBTB47	LOC121107336
ADAM15	CCDC13	TMEM74B
DNAJB13	MYL3	C20orf85
P2RY6	KIF9	LOC107054916
MOGAT2	CATH1	LOC771069
FOLR1	MYO1G	RBP7
CCKBR	VILL	PRLHRL
MAP4	NCAPG2	LOC117654556
GIMAP7L2	WDR60	LRRTM4
VIPR1	ARMC4	LOC121106472
ZBTB47	PTCHD3	SFN
CCDC13	LOC101750112	SESN2
MYL3	MASTL	OPCML
KIF9	GAD2	LOC101751717
CATH3	ENKUR	PLET1
CATH2	ARMC3	LOC107050773
CATH1	SPAG6	LOC121107549
MYO1G	MMR1L4	LOC777082
VILL	CFAP69	NHLH1
DLEC1	CDK14	LOC431313
WDR60	LOC420552	LOC431323
SVIL	EFCAB1	EDCH3
ARMC4	SAMD9L	LOC112530288
ENKUR	HEPACAM2	PFDN2
ARMC3	COL1A2	AVPR1B
SPAG6	SCIN	RAB18L
LOC771876	ETV1	LOC100857333
MMR1L4	MEOX2	SHD
ADAM22	AGR2	LOC121107722
CFAP69	ITGB8	LOC121107800
CDK14	CDCA7L	LOC100859870
SAMD9L	IL6	LOC107050774
COL1A2	IGF2BP3	CHIR-A2
SCIN	FAM221A	LOC100857615
ETV1	MPP6	LOC112531107
MEOX2	HIBADH	LOC100858963
ISPD	TRIL	LOC112531119
AGR2	PLEKHA8	LOC100857964
MACC1	RFTN1	LOC112530854
ITGB8	SATB1	LOC121107933
IL6	SGO1	LOC100859329
IGF2BP3	ZNF385D	LOC107050029
HIBADH	EOMES	DHH
TRIL	MTURN	GPR182
RFTN1	NEK11	LOC121108060
TBC1D5	UBA5	LOC121108105
PP2D1	CCR5	LOC107050557
SGO1	CCR2	KAT8
ZNF385D	XCR1	LOC121108153
THRB	LZTFL1	LOC121108202
OXSM	KIF15	LOC121108210
NEK10	ULK4	LOC101751171
EOMES	CCR4	LOC121108602
TCAIM	LOC101748775	CDC20B
MTURN	AOAH	THBS4
NEK11	ANLN	BHMT2
CCR5	BMPER	CHRNA6
CCR2	BBS9	RFESD
XCR1	NEUROD6	LOC768418
LZTFL1	LOC420770	LOC121108649
TGM4	HECW1	LOC100857894
CCR4	LOC121109818	LOC121108719
DCLK3	LOC112531906	LOC121108729
LOC101748775	TNS3	LOC121108736
AOAH	ICE1	LOC121108742
ANLN	LOC121109603	LOC121108762
BMPER	DCDC2	LOC121108785
LOC420770	NRSN1	LOC112531297
STK17A	STMND1	LOC101750376
LOC121109818	MAK	MGAM
LOC112531906	TFAP2A	ACHE
TNS3	DSP	LOC121108923
ICE1	SERPINB10B	LOC121108934
LOC420807	SERPINB5	LOC121108972
LOC121109603	CDH10	
DCDC2	BASP1	
NRSN1	LOC112531785	
STMND1	DNAH5	
MAK	CTNND2	
TFAP2A	DAP	
DSP	ANKRD33B	
GMDS	ROPN1L	
SERPINB10B	CMBL	
SERPINB5	IKZF1	
BASP1	EPB41L4B	
LOC121113073	MOCOS	
DNAH5	IRX2	
CTNND2	DNAH5L	
DAP	LOC107052684	
ANKRD33B	FAM65B	
ROPN1L	MC2R	
SEMA5A	PIEZO2	
MTRR	MTCL1	
VWC2	TMEM200C	
IKZF1	MYOM1	
EPB41L4B	NDC80	
MOCOS	LOC107052005	
LPCAT1	YES1	
IRX2	COLEC12	
DNAH5L	RBBP8	
LOC107052684	CHST9	
GLIPR2	RAB10L	
BLOC1S4	MCM4	
FBXO15	SNAI2	
MC2R	RGS20	
MTCL1	RP1	
LOC121109836	CRH	
TMEM200C	PPP1R42	
NDC80	LY96	
LOC107052005	PKIA	
YES1	STMN2	
COLEC12	FABP4	
ABHD3	CA3B	
RBBP8	OTUD6A	
ANKRD29	TRIQK	
CHST9	ESRP1	
RAB10L	KCNS2	
KLHL14	RGS22	
SNAI2	GRHL2	
RGS20	DPYS	
RP1	ANGPT1	
PPP1R42	CCN3	
LOC121113131	COL14A1	
LY96	HAS2	
PI15	LRRC6	
PKIA	WISP1	
ZC2HC1A	LOC428383	
STMN2	LOC101747868	
FABP5	LYPD2	
FABP4	LOC101747995	
CA3B	LOC107052805	
OTUD6A	CCDC166	
ESRP1	BCL11A	
CPQ	LOC107052840	
MATN2	BUB1	
KCNS2	LOC121113166	
STK3	CFAP61	
RGS22	XDH	
GRHL2	LOC101747556	
NCALD	CAPN13	
DPYS	EHBP1	
ZFPM2	OTX1	
ANGPT1	CNRIP1	
DEPTOR	ANKEF1	
SNTB1	PAK5	
LRRC6	SYNDIG1	
WISP1	MORN2	
KHDRBS3	CAPN8	
LOC428383	CENPF	
LOC101747868	TATDN3	
TOP1MT	DTL	
SCX	NEK2	
CCDC166	TRAF5	
MAPK15	KCNH1	
OPLAH	SERTAD4	
BCL11A	DYNC2LI1	
LOC107052840	ABCG5	
BUB1	SIX2	
LOC112532067	RHOQ	
XDH	LOC421419	
STON1	KIF6	
CAPN13	KCNK17	
EHBP1	RSPH9	
OTX1	DLK2	
CNRIP1	LOC100858777	
PLEK	SRD5A2	
ANKEF1	EFCAB2	
PAK5	PLD5	
BIRC5	LOC421506	
SYNDIG1	FMN2	
MORN2	EDARADD	
CAPN8	KCNK7	
SUSD4	SIPA1L2	
LYPLAL1	CAPN9	
ESRRG	C1orf198	
SMYD2	FAM89A	
TATDN3	THBS2	
NEK2	SMOC2	
TRAF5	TTLL2	
KCNH1	TCP10	
SERTAD4	CCR6	
DYNC2LI1	PACRG	
SIX2	ADGB	
