Geneid	BT1	BT2	BT3	BT4	BT5	CH1	CH2	CH3	CH4	CH5	HT1	HT2	HT3	HT4	HT5	LS1	LS2	LS3	LS4	LS5	LT1	LT2	LT3	LT4	LT5	QY1	QY2	QY3	QY4	QY5
RAB40C	15.530	18.684	20.154	18.070	21.544	20.326	17.163	18.838	16.215	21.470	24.075	25.563	15.214	18.472	17.896	18.342	19.086	21.085	18.995	17.532	20.534	22.141	18.585	17.426	20.636	20.894	20.746	18.457	22.781	14.849
WFIKKN1	0.220	0.091	0.044	0.134	0.000	0.000	0.032	0.083	0.085	0.165	0.079	0.066	0.025	0.066	0.049	0.000	0.000	0.060	0.000	0.171	0.231	0.090	0.068	0.000	0.000	0.000	0.025	0.092	0.185	0.192
MCRIP2	18.694	24.854	7.271	9.053	17.961	20.290	19.078	21.168	13.590	23.134	7.556	7.152	6.986	12.919	11.710	17.789	13.800	13.753	17.545	24.474	17.559	13.860	15.907	13.008	17.133	24.461	17.959	7.270	6.410	15.290
ABCA3	21.882	47.104	33.137	45.640	30.638	26.602	37.630	45.048	38.780	29.069	26.733	30.223	15.624	61.155	59.117	21.657	26.579	25.315	24.517	18.081	41.333	41.603	41.141	36.077	55.505	31.305	46.340	37.767	47.108	45.632
LOC121106808	0.000	0.000	0.000	0.000	0.000	0.000	0.085	0.222	0.099	0.219	0.359	0.166	0.389	0.000	0.197	0.337	0.000	0.100	0.236	0.399	0.205	0.060	0.331	0.313	0.267	0.027	0.034	0.108	0.015	0.099
LOC121106812	0.392	0.000	0.000	0.191	0.000	0.332	0.271	1.026	0.240	0.000	1.625	0.189	0.141	0.187	0.559	0.617	0.588	0.599	2.017	1.094	1.385	0.685	1.990	1.738	3.414	0.230	0.215	0.590	0.000	1.212
LOC107054654	0.046	0.013	0.056	0.056	0.103	0.000	0.000	0.244	0.044	0.000	0.126	0.028	0.088	0.028	0.021	0.151	0.043	0.088	0.130	0.251	0.236	0.151	0.274	0.236	0.516	0.051	0.053	0.039	0.019	0.187
LOC121106810	0.315	0.087	0.380	0.383	0.586	0.000	0.181	1.427	0.060	0.000	0.952	0.000	0.142	0.188	0.140	1.135	0.295	0.602	0.886	1.709	1.537	1.032	1.870	1.611	3.165	0.231	0.361	0.263	0.132	1.156
LOC121106809	0.000	0.000	0.043	0.032	0.000	0.000	0.000	0.107	0.020	0.000	0.031	0.000	0.048	0.032	0.143	0.105	0.000	0.000	0.000	0.000	0.000	0.029	0.044	0.023	0.000	0.078	0.024	0.000	0.000	0.021
LOC121106811	0.031	0.035	0.051	0.076	0.000	0.044	0.362	0.349	0.121	0.000	0.326	0.000	0.057	0.188	0.281	0.742	0.177	0.412	0.506	0.488	0.351	0.103	0.335	0.563	0.457	0.000	0.000	0.500	0.000	0.316
LOC121106544	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.022	0.000	0.000	0.000	0.000	0.000	0.026	0.040	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.018	0.000	0.000	0.000	0.020	0.000	0.000	0.000
HN1L	33.622	23.325	23.554	25.901	30.282	17.557	19.546	20.212	10.637	12.024	7.616	6.930	6.075	8.200	8.134	33.334	29.801	26.734	25.137	19.090	22.755	11.775	25.553	22.389	26.973	30.051	23.081	10.028	8.309	34.395
CRAMP1	3.097	3.344	3.945	4.883	5.599	4.357	3.038	2.443	2.254	2.429	1.586	1.796	0.426	3.461	3.380	4.308	3.901	4.090	4.939	2.759	3.788	3.058	4.208	3.365	3.942	3.053	3.563	3.361	3.667	4.992
IFT140	2.241	8.225	2.169	4.047	1.983	3.242	3.569	7.678	3.357	2.652	2.169	2.426	1.759	3.118	3.971	2.596	2.497	2.373	2.283	3.532	6.777	2.950	4.507	4.439	3.993	2.674	6.263	3.079	2.651	10.514
