Geneid	BT1	BT2	BT3	BT4	BT5	CH1	CH2	CH3	CH4	CH5	HT1	HT2	HT3	HT4	HT5	LS1	LS2	LS3	LS4	LS5	LT1	LT2	LT3	LT4	LT5	QY1	QY2	QY3	QY4	QY5
CARMIL3	2.235	3.448	1.134	2.098	1.123	2.095	2.266	2.939	1.919	2.082	3.150	2.664	1.281	2.584	4.122	1.530	2.508	1.115	1.525	2.714	2.102	2.711	2.888	2.302	2.308	5.102	5.080	1.566	1.676	1.786
DHRS4	30.209	38.690	18.346	27.817	40.997	41.521	36.122	35.844	26.183	37.618	29.766	23.942	13.756	34.258	31.867	48.688	63.825	55.979	51.229	51.579	34.821	26.635	37.705	29.800	42.192	57.985	52.226	18.661	16.040	33.347
LOC121106805	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC121107380	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC121107381	0.000	0.154	0.000	0.043	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.063	0.032	0.042	0.000	0.000	0.000	0.000	0.000	0.000	0.065	0.038	0.000	0.030	0.000	0.000	0.000	0.088	0.059	0.000
LOC121107383	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CLC2DL4	10.655	7.914	47.615	25.181	24.684	3.646	10.160	8.895	37.894	48.294	51.073	60.633	47.091	54.915	47.274	7.036	2.802	2.819	4.480	8.110	34.479	29.623	29.323	35.049	7.738	6.678	10.395	19.378	101.805	10.662
LOC121113333	1.359	2.491	3.370	2.548	3.038	1.280	1.890	1.826	4.906	3.046	63.505	56.539	21.602	8.051	7.886	3.937	0.106	1.671	0.638	3.777	4.530	3.344	1.717	2.416	1.265	18.039	18.847	2.085	48.480	3.548
LOC121106515	0.384	1.624	3.612	1.545	0.792	1.002	2.585	2.144	3.194	2.060	15.094	16.315	6.334	4.377	3.059	1.201	1.219	2.098	0.856	1.467	1.072	1.389	0.630	1.790	2.476	2.385	5.553	2.918	13.790	1.371
LOC776463	7.727	1.102	39.604	14.709	20.263	1.517	2.389	2.813	37.699	45.920	196.235	145.898	77.978	26.423	23.640	14.177	0.940	1.564	0.576	2.665	11.783	11.740	6.159	16.551	0.560	17.862	50.989	2.576	397.151	3.156
LOC121113327	4.939	10.751	26.361	11.542	8.316	8.389	24.471	17.769	20.278	10.341	36.489	29.371	13.257	21.491	19.739	13.617	10.537	9.828	10.127	10.864	13.722	12.673	11.799	15.258	15.373	10.281	15.189	30.766	65.653	14.383
LOC121113351	0.031	0.405	0.641	1.753	1.005	0.000	0.459	0.309	0.235	1.039	16.869	15.901	0.981	4.177	3.559	2.575	0.115	3.050	0.197	6.898	3.936	1.811	0.226	0.654	1.713	1.891	2.306	0.436	8.692	0.878
LOC121109244	1.141	1.407	3.226	2.943	2.319	0.342	1.274	1.464	3.579	4.478	20.992	13.098	12.879	4.957	4.136	1.633	0.843	0.680	0.390	2.414	3.827	1.512	2.437	4.278	2.705	1.929	2.663	2.460	45.830	5.189
LOC121109239	0.805	0.933	2.592	2.166	1.832	0.839	0.561	0.662	2.195	1.817	4.348	2.937	3.696	1.191	2.044	0.528	0.159	0.324	0.341	0.888	0.710	1.507	0.886	1.375	1.564	1.121	0.700	0.781	25.518	1.394
LOC112532872	8.819	5.196	34.571	19.525	18.567	2.009	4.043	3.666	26.737	29.327	73.964	38.148	144.258	36.468	30.534	4.937	0.471	2.330	1.009	2.400	19.874	19.708	16.209	21.978	5.607	2.026	4.907	5.530	95.263	6.793
LOC101747821	0.967	2.889	9.118	6.893	3.708	1.661	3.342	2.717	3.392	3.719	7.327	7.410	9.060	4.047	4.196	2.176	1.427	0.907	1.446	1.930	7.009	12.171	4.816	3.362	5.407	1.725	1.268	4.860	45.987	10.856
LOC121106485	6.376	11.554	24.966	13.233	4.117	5.977	12.055	9.385	14.986	5.505	16.426	11.463	11.938	20.377	16.444	8.323	5.119	7.157	8.015	3.916	8.662	8.356	7.157	9.402	6.556	4.006	4.629	15.361	25.331	5.990
LOC121113360	2.380	3.389	6.872	3.492	3.235	1.386	3.063	2.470	6.604	6.000	12.868	10.965	16.496	6.861	8.377	4.410	2.233	0.842	1.353	1.738	2.150	1.838	1.320	4.422	1.800	5.654	11.943	4.396	1.001	4.713
LOC121113328	2.124	2.689	12.960	6.142	4.957	2.152	4.107	3.232	9.312	10.223	12.745	14.170	28.254	7.854	7.300	3.260	1.203	2.234	1.484	1.492	3.169	2.674	1.873	6.054	2.553	0.353	3.418	3.456	107.842	5.706
CLC2DL5	7.234	9.510	15.191	13.113	12.239	6.034	10.455	9.554	14.315	10.238	19.008	20.374	11.489	11.283	11.758	9.256	4.752	6.208	6.872	7.410	9.188	9.932	7.147	9.849	9.582	5.471	4.446	13.992	56.845	14.192
LOC121109243	3.166	5.465	10.737	7.525	7.623	2.961	9.086	11.588	13.709	13.106	38.420	39.816	26.443	11.118	10.700	6.647	7.495	4.739	5.411	4.384	8.747	5.008	8.066	11.308	6.315	4.292	10.632	17.536	72.118	4.184
LOC121113331	4.582	7.107	11.785	5.117	5.151	3.186	6.228	5.301	8.066	8.310	27.550	18.237	12.590	7.631	6.440	6.555	3.242	3.736	2.842	6.761	5.242	5.670	3.911	5.482	8.523	3.695	5.753	9.623	82.660	4.738
LOC121113330	0.527	0.580	0.250	0.604	0.139	0.175	0.000	0.063	0.119	0.000	35.285	20.370	0.126	0.148	0.111	1.425	0.116	2.035	0.250	2.455	0.029	0.475	4.425	5.005	6.831	0.364	0.199	0.156	75.399	10.803
LOC121109246	0.000	0.000	0.000	0.152	0.000	2.466	0.574	0.126	0.000	0.000	0.144	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.320	0.116	0.000	0.000	0.000	0.000	0.000	0.000	1.669	0.314	0.000
LOC121109235	0.000	2.433	0.142	0.430	0.000	0.000	0.357	0.981	0.051	0.397	0.675	0.546	0.209	0.264	0.356	0.639	0.166	0.121	0.712	0.583	2.696	0.194	0.453	0.434	0.668	0.227	0.020	0.130	0.354	0.377
LOC107055489	12.027	17.811	27.658	15.756	14.153	8.639	4.121	8.541	9.859	8.104	26.149	23.921	15.160	13.152	13.045	3.387	2.467	4.072	3.841	5.403	6.660	12.651	13.373	12.220	8.954	5.184	2.858	29.457	35.742	6.651
CD69L	30.685	20.069	15.593	2.009	35.400	8.181	5.481	37.028	3.040	13.413	130.856	91.435	15.259	2.427	2.972	0.466	0.459	0.548	0.473	8.962	24.055	2.811	2.648	2.068	2.872	7.798	0.606	54.604	50.644	0.994
LOC121113329	8.496	7.792	9.551	4.086	12.218	3.173	2.776	5.850	3.991	7.357	11.180	10.527	2.382	4.451	4.098	3.600	2.777	4.271	3.935	3.328	4.471	3.638	6.502	4.300	4.163	3.809	3.294	9.996	17.541	3.281
LOC107049847	15.300	23.343	28.530	16.978	26.120	9.024	5.833	13.366	11.319	11.076	21.936	17.781	13.950	17.082	18.557	6.376	6.451	8.674	12.774	11.070	9.691	15.833	16.655	12.906	13.289	6.680	8.249	26.964	24.440	14.581
LOC121113363	1.881	2.728	4.197	1.665	0.956	1.209	0.886	3.750	2.099	2.813	8.032	7.548	0.983	6.593	7.484	0.000	0.000	0.000	0.207	0.398	0.637	0.234	0.736	1.095	0.860	2.135	1.177	7.340	3.741	1.688
LOC430443	0.657	1.047	1.605	0.469	0.439	0.737	0.339	3.176	1.304	1.807	5.733	5.393	0.439	3.629	3.967	0.000	0.000	0.000	0.073	0.176	0.211	0.099	0.242	0.638	0.532	1.165	0.520	4.383	1.258	0.807
GOLGB1	5.576	7.343	9.362	9.221	7.215	10.395	8.263	7.617	8.324	9.294	5.052	5.408	3.353	7.176	7.491	8.187	8.492	6.678	9.770	7.411	7.120	7.921	7.128	7.118	8.617	7.690	8.286	8.911	8.117	9.118
HCLS1	5.431	17.611	24.061	22.389	13.078	7.025	27.727	42.540	22.043	10.651	11.631	12.108	12.652	9.093	8.719	11.514	10.605	6.082	3.469	10.749	15.304	23.309	26.230	22.974	12.093	5.328	12.565	30.250	21.644	25.831
OR9Q1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.110	0.115	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.069	0.000	0.054	0.000	0.000	0.000	0.159	0.160	0.000
NME6	4.175	5.913	6.949	6.830	6.008	10.922	9.394	9.433	9.827	8.417	10.839	9.742	11.027	6.940	6.685	9.194	9.006	9.442	7.262	7.372	9.912	7.874	8.694	10.322	8.207	6.695	9.111	9.282	7.267	6.164
RABL2A	3.340	8.420	6.158	8.634	2.282	6.787	9.214	10.101	9.819	5.131	27.182	20.371	21.882	7.900	5.468	6.118	4.570	3.727	4.705	6.911	6.345	21.845	9.697	14.135	6.455	1.328	8.998	22.896	14.986	11.738
ACR	0.000	0.234	0.570	1.035	0.000	0.000	1.306	1.286	0.761	0.141	1.307	2.690	2.363	1.101	1.013	0.186	0.133	0.077	0.228	0.330	0.725	1.783	0.232	1.392	0.396	0.208	0.715	2.493	2.624	0.219
ARSA	4.063	9.600	17.157	13.435	7.398	5.088	14.350	10.172	12.277	8.588	19.012	17.167	13.687	17.143	16.024	6.334	6.448	6.409	6.673	6.686	11.798	14.975	11.111	11.429	9.571	7.609	9.404	18.061	19.707	10.593
ACRL	0.000	0.000	0.000	0.000	0.316	0.000	0.081	0.285	0.108	0.000	0.000	0.000	0.223	0.084	0.504	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.058	0.060	0.000	0.000	0.000	0.000	0.000	0.000
SHANK3	3.554	3.940	10.920	10.580	2.756	2.556	6.687	3.231	6.917	4.559	18.317	13.152	10.108	11.540	11.778	3.595	3.907	4.716	4.057	6.514	5.480	5.993	4.441	5.354	3.429	4.978	4.692	12.391	12.779	3.858
LOC121109250	3.233	2.937	12.039	12.074	2.914	1.834	6.191	3.032	5.810	3.110	19.606	12.842	10.028	11.683	11.181	3.355	3.069	4.850	2.330	5.776	6.209	5.881	2.959	3.771	2.185	3.451	2.362	14.245	12.004	3.055
PAX4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ARF5	2.214	5.103	2.375	2.565	2.514	7.898	3.156	10.946	2.668	1.261	1.701	1.969	3.372	2.520	2.824	2.490	2.770	1.383	3.734	5.398	12.261	2.652	2.679	2.250	10.723	4.025	2.127	2.207	1.862	3.834
GCC1	8.051	8.940	9.919	9.611	9.076	12.235	10.025	10.957	8.529	9.528	13.773	13.944	13.195	10.224	9.796	13.702	10.954	12.542	10.127	12.065	9.200	13.927	10.520	9.987	9.422	9.717	9.069	10.618	10.139	9.638
DENND6B	2.445	7.649	3.893	4.926	1.936	1.512	5.015	9.937	4.591	2.589	4.843	4.879	1.825	5.692	6.187	1.370	1.004	1.420	1.230	3.478	9.598	5.015	5.220	4.913	6.036	2.730	4.766	7.038	7.435	11.905
PPP6R2	4.221	7.822	9.666	10.371	6.345	7.153	10.121	12.475	9.012	7.027	11.655	10.257	8.509	9.401	8.973	6.735	7.583	6.908	6.235	7.313	10.688	9.523	10.214	9.805	8.672	6.445	9.161	14.246	12.630	9.993
SBF1	15.067	20.713	26.946	25.363	23.519	19.776	25.194	23.402	19.890	22.244	20.230	20.914	8.665	20.380	19.516	22.763	21.426	22.056	22.049	19.676	24.153	22.969	25.560	21.823	21.676	16.551	17.786	30.002	29.393	26.041
ADM2	0.699	2.178	4.123	2.975	1.215	0.000	4.024	6.106	4.198	1.625	3.356	2.175	11.650	1.949	3.120	1.070	2.186	0.637	0.188	1.084	4.877	2.039	4.679	5.170	2.864	1.710	3.846	9.069	4.115	3.695
MIOX	0.206	0.981	1.324	1.335	0.102	0.291	2.211	4.978	1.315	0.137	2.213	0.785	2.039	0.574	1.102	0.900	0.772	0.000	0.110	0.639	4.084	3.076	2.249	1.756	0.767	1.108	1.132	2.125	1.269	4.511
LMF2	16.342	52.598	51.365	61.793	16.395	15.352	61.490	49.390	53.489	35.686	57.639	51.189	44.804	51.048	52.241	16.073	22.464	19.875	18.322	39.199	44.746	65.057	36.354	41.582	41.848	25.426	38.539	58.423	53.886	37.430
NCAPH2	3.500	5.592	6.570	7.400	3.416	2.179	6.909	8.989	5.496	3.986	4.177	2.836	4.374	3.336	3.498	4.429	3.910	3.963	3.689	3.362	10.390	5.880	7.139	6.508	6.753	2.570	2.178	5.198	4.347	5.610
SCO2	20.823	21.945	16.128	19.176	23.497	17.332	17.480	29.821	27.912	28.512	22.932	19.051	26.788	24.307	25.722	20.431	24.653	24.040	16.136	22.953	24.808	21.183	28.001	29.154	27.628	26.865	27.846	18.576	19.484	21.085
IRF5	1.473	7.897	9.537	11.778	3.238	1.405	11.149	23.196	6.381	4.916	2.736	2.927	2.554	7.656	6.115	2.899	3.178	2.133	0.237	5.028	6.474	9.504	19.286	15.901	5.679	1.406	2.938	10.296	7.402	9.971
TNPO3	9.742	10.652	13.088	12.866	11.325	9.350	16.296	15.979	11.882	11.461	20.910	17.230	12.605	11.537	12.771	11.690	15.264	13.940	15.637	14.980	14.998	13.102	15.217	15.284	14.454	11.463	12.516	16.515	14.989	11.251
LOC112532892	3.672	3.254	6.565	5.955	3.649	3.893	6.225	4.833	3.755	4.676	3.644	3.502	1.700	4.632	5.647	4.283	5.742	4.906	3.284	6.173	6.074	4.575	6.271	4.875	2.508	5.991	4.958	4.782	4.977	3.946
SMO	25.116	27.197	22.997	19.203	40.296	40.845	26.098	21.939	24.020	38.095	22.058	21.482	12.993	23.078	22.354	37.029	35.074	48.411	32.722	34.472	26.963	18.934	25.583	24.182	26.374	33.821	27.148	22.022	22.933	18.171
AHCYL2	7.245	6.376	6.457	6.780	10.942	9.251	5.262	6.309	5.618	7.173	6.606	6.245	3.580	7.251	7.280	8.964	7.112	8.181	8.613	8.599	6.815	5.940	6.788	6.565	7.547	6.547	5.418	6.026	5.774	6.876
STRIP2	0.021	0.471	2.341	1.327	0.255	0.847	2.784	0.712	0.788	0.213	4.857	2.191	3.249	1.995	1.949	0.197	0.803	0.304	0.517	0.664	0.836	2.083	1.631	2.703	0.933	0.534	0.746	3.260	3.186	0.215
NRF1	1.184	1.772	2.421	1.647	1.230	1.489	1.906	1.766	1.574	1.354	2.564	2.710	1.506	2.256	2.514	1.083	1.403	1.252	1.391	1.122	1.779	2.182	1.520	1.512	1.850	1.596	1.082	2.633	3.021	2.542
UBE2H	35.548	27.358	35.782	31.852	40.570	36.793	29.214	35.932	26.304	31.714	27.215	32.377	26.812	28.150	27.634	36.662	24.922	33.006	28.944	20.754	26.578	33.200	33.894	29.622	30.389	31.829	27.319	33.331	30.434	36.768
ZC3HC1	5.261	6.478	5.592	7.163	6.691	3.548	7.003	6.520	5.886	7.216	7.620	5.612	6.437	6.230	6.638	7.601	7.609	7.915	6.683	8.689	7.051	6.970	7.518	8.116	6.744	7.372	6.463	8.164	7.025	6.761
KLHDC10	7.574	11.441	11.767	11.929	9.343	11.781	7.984	9.646	10.872	8.755	14.475	13.474	10.345	11.408	9.414	10.905	10.471	9.941	8.983	9.543	8.483	11.377	10.609	12.181	10.908	8.508	10.366	13.340	13.523	10.712
LOC100859230	0.000	0.036	0.052	0.039	0.000	0.000	0.037	0.000	0.025	0.000	0.019	0.020	0.117	0.078	0.058	0.000	0.061	0.000	0.209	0.000	0.000	0.000	0.106	0.111	0.000	0.000	0.000	0.000	0.055	0.000
TMEM209	2.419	4.007	4.242	5.290	2.309	3.535	3.662	4.932	3.794	3.305	3.383	3.668	2.841	3.866	5.097	2.425	3.724	2.585	2.844	2.362	3.819	4.609	3.989	4.733	3.950	2.714	3.166	5.166	4.207	6.583
CPA2	0.000	0.000	0.000	0.000	0.000	0.117	0.000	0.000	0.095	0.000	0.024	0.000	0.000	0.000	0.074	0.000	0.000	0.000	0.000	0.000	0.077	0.000	0.034	0.000	0.046	0.000	0.000	0.000	0.000	0.000
CPA5	0.000	0.300	0.000	0.083	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.082	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.114	0.000	0.000
CPA1	0.000	0.000	0.000	0.000	0.203	0.000	0.000	0.137	0.000	0.000	0.118	0.000	0.031	0.000	0.364	0.000	0.000	0.000	0.219	0.000	0.000	0.000	0.000	0.058	0.000	0.000	0.000	0.000	0.000	0.000
CEP41	1.813	5.622	2.918	3.309	1.843	2.563	3.369	6.440	3.066	3.532	3.016	3.352	2.005	2.512	1.840	3.407	1.469	2.298	2.654	3.773	4.103	2.570	4.190	4.081	4.607	2.966	1.966	3.313	3.398	6.889
MEST	2.920	8.087	5.995	4.349	2.251	3.203	5.102	6.548	5.638	4.717	6.556	5.854	3.766	7.883	7.733	2.577	2.173	3.192	2.270	2.813	5.715	5.398	4.747	4.727	4.390	3.993	4.156	5.860	6.989	7.637
COPG2	8.820	10.693	11.048	11.636	10.119	11.123	14.716	12.469	13.233	8.559	20.165	14.716	12.176	9.988	10.609	11.102	11.389	7.309	12.420	11.413	12.633	12.968	13.956	14.860	13.998	8.232	10.967	16.622	13.953	12.855
IL15RA	2.704	4.880	13.187	10.689	2.393	3.404	10.410	4.131	11.405	3.452	27.798	29.419	7.823	12.420	10.714	3.049	3.568	4.664	4.149	5.638	8.176	16.590	5.992	10.313	4.722	2.606	5.153	21.966	27.828	5.231
FBXO18	3.532	6.528	6.963	6.746	4.080	5.318	6.000	9.419	6.028	3.978	9.362	10.757	6.398	4.918	4.637	3.940	4.640	5.445	6.113	5.262	8.759	7.632	7.920	8.216	6.732	3.942	4.341	7.897	8.172	9.704
ANKRD16	0.571	1.479	0.830	1.210	0.934	0.469	1.952	2.154	2.572	1.836	2.548	3.252	2.175	2.774	2.731	1.257	1.279	1.531	2.373	2.487	1.817	2.318	2.099	2.280	1.915	1.299	1.335	2.052	1.906	1.483
GDI1	111.978	91.140	93.053	91.399	113.602	125.250	84.310	114.421	86.529	92.006	70.097	81.255	72.763	73.176	72.663	131.269	120.000	116.909	120.254	111.759	90.436	81.142	107.828	105.172	114.407	105.290	97.869	81.481	69.363	130.295
FAM208B	3.082	7.002	6.423	5.254	3.857	4.386	6.860	4.826	4.954	4.944	4.877	6.046	2.612	7.264	6.269	3.896	4.693	4.210	4.683	5.012	4.884	6.334	6.134	5.428	4.126	3.633	4.348	6.847	7.993	5.081
ASB13	0.880	2.013	1.278	2.079	0.720	1.635	1.451	2.071	2.105	1.548	1.303	1.165	0.638	1.547	1.603	1.404	1.198	1.057	0.417	1.018	2.072	1.359	1.641	2.063	2.199	1.343	1.156	1.619	1.655	1.670
CALML3	0.218	0.479	0.175	1.193	0.974	0.616	2.007	27.348	0.167	3.692	0.314	0.000	0.098	0.000	0.000	0.286	0.000	1.191	0.526	4.058	17.132	2.264	9.200	6.603	4.628	0.960	0.300	0.365	0.183	10.201
NET1	72.388	111.461	41.468	60.138	38.374	60.841	59.109	91.261	73.287	73.981	30.290	27.593	19.273	38.792	42.925	67.430	59.231	44.373	41.405	66.954	52.513	44.145	72.987	71.296	88.862	63.900	45.269	50.385	47.680	121.511
TUBAL3	0.000	0.320	0.312	0.708	0.000	0.000	0.112	0.196	0.186	0.097	0.028	0.234	0.087	0.058	0.173	0.000	0.273	0.106	0.000	0.151	0.181	0.265	0.159	0.083	0.000	0.000	0.400	0.041	0.000	0.038
LOC416695	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.016	0.000	0.000	0.236	0.035	0.000	0.000	0.043	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
UCN3	0.000	0.069	0.000	0.000	0.156	0.000	0.073	0.085	0.048	0.000	0.000	0.025	0.009	0.075	0.000	0.055	0.000	0.000	0.000	0.065	0.098	0.000	0.000	0.054	0.000	0.000	0.019	0.000	0.018	0.016
LOC416696	0.100	0.012	0.000	0.000	0.083	0.000	0.000	0.011	0.000	0.000	0.000	0.000	0.015	0.013	0.139	0.029	0.021	0.012	0.089	0.000	0.010	0.012	0.018	0.000	0.025	0.082	0.010	0.000	0.019	0.000
SLC35B4	6.026	7.634	8.522	8.386	6.873	6.196	8.779	11.345	8.999	5.733	5.353	5.899	3.517	8.867	8.766	6.321	4.412	4.467	4.888	5.597	5.204	6.867	6.756	5.690	6.047	6.336	7.768	8.811	7.432	10.988
LRGUK	0.084	2.012	0.034	0.547	0.016	0.044	0.818	2.665	0.064	0.250	0.181	0.076	0.056	0.050	0.224	0.082	0.039	0.080	0.185	0.065	3.121	0.217	1.148	0.580	0.911	0.307	0.029	0.210	0.404	4.285
EXOC4	11.868	11.547	14.792	12.601	14.895	14.999	13.324	14.754	11.803	12.580	14.691	15.167	9.654	10.659	12.416	31.748	34.803	34.647	16.604	14.620	13.958	10.281	14.810	13.917	15.260	21.324	13.989	11.086	10.408	20.917
LOC112532918	0.000	0.246	0.051	0.155	0.095	0.000	0.073	0.032	0.122	0.000	0.018	0.000	0.043	0.000	0.171	0.000	0.000	0.105	0.000	0.247	0.000	0.035	0.026	0.027	0.000	0.000	0.029	0.000	0.000	0.025
LOC107053233	0.000	0.000	0.066	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.049	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.046	0.000	0.000	0.034	0.069	0.000
LOC101747803	0.000	0.000	0.000	0.036	0.000	0.000	0.034	0.089	0.158	0.000	0.000	0.000	0.013	0.000	0.000	0.000	0.000	0.032	0.000	0.137	0.027	0.032	0.024	0.025	0.000	0.129	0.000	0.000	0.025	0.045
LOC121109261	0.000	0.000	0.147	0.335	0.000	0.043	0.070	0.031	0.141	0.000	0.070	0.092	0.262	0.000	0.600	0.000	0.000	0.000	0.000	0.095	0.370	0.301	0.276	0.183	0.342	0.135	0.000	0.179	0.643	0.000
LOC107055494	0.000	0.000	0.000	0.110	0.000	0.000	0.104	0.091	0.138	0.000	0.000	0.000	0.041	0.000	0.322	0.118	0.338	0.394	0.000	0.140	0.084	0.099	0.000	0.077	0.000	0.000	0.000	0.000	0.076	0.000
LOC101750035	0.000	0.000	0.229	0.000	0.071	0.000	0.000	0.048	0.073	0.000	0.110	0.000	0.107	0.000	0.085	0.000	0.000	0.000	0.000	0.000	0.177	0.104	0.039	0.000	0.159	0.000	0.000	0.000	0.040	0.000
LOC101749355	0.000	0.000	0.000	0.016	0.000	0.074	0.030	0.026	0.090	0.000	0.000	0.024	0.029	0.016	0.418	0.000	0.024	0.085	0.000	0.000	0.024	0.000	0.011	0.000	0.000	0.000	0.000	0.022	0.000	0.020
LOC121109676	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC121110529	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.146	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC121109657	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC121110531	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC107053701	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.042	0.000	0.000	0.000	0.000	0.000
LOC121109359	0.000	0.000	0.000	0.000	0.145	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.054	0.000	0.000	0.000	0.000	0.000
LOC121109689	0.000	0.000	0.000	0.000	0.000	0.000	0.031	0.000	0.000	0.000	0.000	0.000	0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC121109268	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC121109273	0.000	0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.013	0.000	0.099	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CHCHD3	20.792	23.665	11.746	15.203	25.883	34.709	23.052	23.470	20.486	26.895	18.354	16.890	14.451	11.368	12.642	33.672	34.870	30.045	30.627	31.667	21.817	15.971	27.112	25.632	30.166	18.191	24.092	14.169	11.026	24.992
LOC101750196	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.090	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC121109715	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.074	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC121109712	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC121109716	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.074	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC121109274	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC121109714	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC107054205	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
